/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Parallel/pyflow/output/HoChiMinhTraffic_10FPS_320/timing/HoChiMinhTraffic_10FPS_320_P6_C4.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
0.502902,0.457249,0.472638
0.501169,0.454756,0.470251
0.500758,0.452757,0.468254
0.501417,0.455717,0.471034
0.498847,0.452344,0.467980
0.503165,0.456318,0.471558
0.502338,0.455900,0.471288
0.505396,0.459615,0.474992
0.496783,0.450471,0.466179
0.501718,0.456202,0.471647
0.512151,0.466966,0.482645
0.525605,0.479251,0.494785
0.519433,0.471899,0.487669
0.540563,0.488555,0.504516
0.559140,0.510750,0.528084
0.507656,0.461510,0.477179
0.493380,0.447195,0.462728
0.501097,0.455806,0.471312
0.507054,0.461225,0.476706
0.509114,0.463739,0.479071
0.517082,0.471468,0.486862
0.505144,0.459818,0.475199
0.500355,0.454967,0.470320
0.497722,0.449776,0.465773
0.503608,0.458081,0.473952
0.501837,0.455535,0.471286
0.501380,0.455462,0.470865
0.498265,0.452207,0.467511
0.494234,0.448488,0.463789
0.498528,0.452686,0.468025
0.514393,0.469442,0.484468
0.497621,0.452250,0.467627
0.500888,0.454971,0.470921
0.481318,0.436727,0.452199
0.470353,0.423691,0.440692
0.542203,0.497032,0.512704
0.470088,0.425007,0.440293
0.478831,0.433981,0.449487
0.467210,0.422898,0.438018
0.466509,0.422446,0.437843
0.485875,0.441554,0.457036
0.474138,0.429946,0.445022
0.467128,0.422495,0.437863
0.473131,0.428873,0.444126
0.473782,0.429465,0.444977
0.486725,0.441261,0.456652
0.468309,0.424061,0.439104
0.465005,0.420216,0.435521
0.481441,0.437478,0.452764
0.472102,0.428384,0.443498
0.477559,0.429026,0.444191
0.472974,0.428265,0.443399
0.518269,0.473074,0.489196
0.518453,0.470636,0.486563
0.511797,0.460788,0.476565
0.552549,0.507039,0.522663
0.499089,0.452689,0.468321
0.519382,0.472781,0.488885
0.505265,0.453870,0.470414
0.472504,0.426685,0.442860
0.472773,0.428816,0.444117
0.488118,0.443766,0.458867
0.500559,0.455111,0.470624
0.503986,0.458153,0.474153
0.609109,0.562263,0.579258
0.477828,0.431652,0.447790
0.491069,0.443412,0.459330
0.487530,0.440440,0.455824
0.469029,0.423036,0.439378
0.474225,0.430324,0.445336
0.469962,0.425438,0.440770
0.489278,0.445103,0.460431
0.474603,0.429847,0.444955
0.475158,0.430971,0.446352
0.486855,0.441876,0.457980
0.476860,0.432977,0.448193
0.480866,0.432082,0.447532
0.481785,0.437024,0.452343
0.466310,0.422590,0.437615
0.478994,0.432617,0.448311
0.487026,0.440169,0.455454
0.475355,0.430434,0.445334
0.486065,0.439985,0.455951
0.468640,0.424419,0.439353
0.482025,0.437593,0.453254
0.481335,0.435945,0.451174
0.470837,0.426251,0.441364
0.478449,0.434106,0.449371
0.471098,0.426959,0.442365
0.475549,0.430622,0.445934
0.478339,0.430412,0.445728
0.467079,0.422214,0.437298
0.475491,0.430713,0.446101
0.471530,0.427213,0.442451
0.491383,0.446845,0.462360
0.478279,0.432794,0.448032
0.535828,0.489341,0.505259
0.506327,0.459843,0.476065
0.507592,0.461103,0.476942
0.494155,0.449441,0.464855
0.512601,0.464601,0.480180
0.482164,0.429413,0.452153
0.489228,0.441351,0.459265
0.485862,0.440841,0.456255
0.497840,0.449433,0.465793
0.487838,0.441560,0.457632
0.543814,0.497053,0.513163
0.589791,0.540857,0.556576
0.582835,0.533256,0.548717
0.656475,0.605604,0.621689
0.498956,0.453120,0.468292
0.515241,0.470315,0.485997
0.487067,0.442016,0.457699
0.520098,0.473422,0.488939
0.506831,0.458422,0.474037
0.480664,0.435195,0.450761
0.521441,0.473534,0.490007
0.478785,0.433753,0.449017
0.481171,0.435519,0.451536
0.500602,0.453792,0.469580
0.518765,0.469951,0.486515
0.535771,0.487937,0.504522
0.552424,0.505530,0.521431
0.698495,0.648910,0.667790
0.571213,0.521747,0.537697
0.539955,0.493524,0.509241
0.522693,0.475325,0.491932
0.705964,0.656900,0.675041
0.764570,0.718231,0.733706
0.506959,0.456200,0.471747
0.573954,0.527700,0.543488
0.604853,0.558373,0.574372
0.537909,0.491968,0.507652
