/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Parallel/pyflow/output/HoChiMinhTraffic_10FPS_320/timing/HoChiMinhTraffic_10FPS_320_P6_C2.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
0.577139,0.532039,0.547379
0.580039,0.535026,0.550428
0.581519,0.536294,0.551529
0.584556,0.539634,0.554869
0.579898,0.534247,0.549958
0.579453,0.533963,0.549368
0.593229,0.547647,0.562915
0.582057,0.536850,0.552088
0.578316,0.532963,0.548510
0.584572,0.539293,0.554759
0.574524,0.529293,0.544416
0.580173,0.535020,0.550420
0.578957,0.533182,0.548719
0.579275,0.533631,0.549136
0.581069,0.535769,0.550910
0.579475,0.532106,0.547402
0.600220,0.551020,0.566197
0.588773,0.538102,0.553871
0.645677,0.596995,0.614978
0.663973,0.616488,0.633261
0.591537,0.545233,0.561035
0.591490,0.545453,0.561899
0.582118,0.536828,0.551952
0.579972,0.534519,0.550035
0.592486,0.546894,0.562592
0.579109,0.533967,0.549212
0.581859,0.536295,0.551720
0.585078,0.538746,0.553994
0.582620,0.536777,0.552444
0.583080,0.538022,0.553354
0.574359,0.529559,0.545082
0.594874,0.549375,0.564646
0.586391,0.540405,0.555697
0.576610,0.531596,0.547161
0.574158,0.528757,0.544107
0.575563,0.528191,0.545539
0.574657,0.529620,0.545040
0.575731,0.530798,0.546092
0.576493,0.532260,0.547415
0.576485,0.530300,0.545531
0.576774,0.530763,0.546591
0.576943,0.531613,0.547151
0.577781,0.531723,0.547357
0.583293,0.538325,0.553573
0.600107,0.553923,0.570096
0.600066,0.551723,0.569815
0.645589,0.598044,0.615225
0.579823,0.533495,0.549049
0.593571,0.545725,0.563470
0.576009,0.530706,0.545814
0.581880,0.536099,0.551619
0.579372,0.534640,0.549768
0.582823,0.536493,0.552262
0.576257,0.531017,0.546533
0.577613,0.532344,0.547855
0.582129,0.536299,0.551874
0.578153,0.533260,0.548503
0.582141,0.536914,0.552351
0.658330,0.611932,0.628312
0.587495,0.540873,0.556419
0.580117,0.534858,0.550142
0.577500,0.532318,0.547496
0.660055,0.612146,0.627772
0.617344,0.564035,0.579915
0.614744,0.561674,0.577674
0.629431,0.577385,0.594365
0.576964,0.532536,0.547886
0.570194,0.526305,0.542062
0.543419,0.500596,0.515189
0.596875,0.548563,0.564439
0.582144,0.528921,0.544309
0.580410,0.529578,0.544960
0.562400,0.517949,0.533070
0.548123,0.504702,0.519494
0.607039,0.561612,0.578210
0.567180,0.522387,0.537459
0.567652,0.523460,0.538533
0.560292,0.516337,0.531452
0.566163,0.520670,0.536740
0.568009,0.522900,0.539249
0.556296,0.512852,0.527863
0.564252,0.516567,0.532030
0.556334,0.512532,0.527724
0.565035,0.521115,0.536227
0.560455,0.516748,0.531603
0.567803,0.522258,0.537268
0.568593,0.524034,0.538934
0.555855,0.512988,0.527872
0.562780,0.515716,0.530974
0.564113,0.518744,0.533855
0.563791,0.519769,0.535196
0.557019,0.513407,0.527997
0.596404,0.551787,0.567593
0.576112,0.526622,0.541876
0.615887,0.570251,0.586650
0.588764,0.540795,0.556366
0.699458,0.653263,0.669141
0.660391,0.607757,0.623816
0.583279,0.534427,0.549961
0.591187,0.545896,0.561326
0.666441,0.616363,0.632735
0.619451,0.567945,0.583409
0.556631,0.512455,0.527614
0.567829,0.524196,0.539181
0.561741,0.517444,0.532371
0.562311,0.517198,0.533194
0.582611,0.538530,0.554386
0.557922,0.513020,0.527923
0.569842,0.521031,0.535842
0.561967,0.518752,0.533881
0.567063,0.523657,0.538693
0.559539,0.515747,0.530599
0.566629,0.522871,0.538115
0.563824,0.519528,0.534726
0.559089,0.514418,0.529345
0.569276,0.522146,0.537179
0.556376,0.511451,0.527870
0.577816,0.533613,0.549184
0.557373,0.513333,0.528430
0.562336,0.519021,0.533970
0.558621,0.514058,0.529862
0.597133,0.550669,0.566193
0.587212,0.536775,0.553861
0.599947,0.553494,0.569771
0.607410,0.562018,0.578344
0.623855,0.577120,0.593930
0.569387,0.524072,0.539432
0.563655,0.519879,0.534897
0.561213,0.515663,0.532401
0.551438,0.507331,0.522459
0.564727,0.517821,0.532917
0.627104,0.581309,0.598004
0.560717,0.515892,0.531024
