/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS/timing/HoChiMinhTraffic_10FPS_P6.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P1],[P2],[P3],[P4],[P5]
0.010818,0.023182,0.867309,0.339101,0.219570,0.120051,0.076543,0.047956,0.029934
0.008902,0.021464,0.883409,0.348938,0.215471,0.132934,0.076988,0.048435,0.030121
0.009279,0.020833,0.925352,0.376553,0.237129,0.122683,0.077430,0.049981,0.031307
0.008902,0.026679,0.812151,0.293256,0.187390,0.123315,0.080581,0.055472,0.036400
0.008845,0.021445,0.830842,0.311369,0.195954,0.131680,0.078713,0.052018,0.030659
0.008812,0.021584,0.831519,0.305140,0.194778,0.129827,0.089441,0.051151,0.030591
0.010291,0.020640,0.859169,0.353873,0.200868,0.121257,0.075313,0.047551,0.029223
0.014892,0.023711,0.961054,0.411409,0.215794,0.121972,0.084264,0.055366,0.033404
0.010197,0.037538,1.160242,0.343796,0.218128,0.144114,0.098377,0.152592,0.155319
0.010969,0.024369,0.912849,0.362516,0.225932,0.131131,0.076859,0.050633,0.030274
0.008822,0.024745,0.846364,0.326503,0.192557,0.126044,0.084538,0.049403,0.033593
0.010367,0.020976,0.892719,0.365854,0.219041,0.120173,0.078041,0.048526,0.029577
0.008982,0.023821,0.845686,0.340432,0.187064,0.127052,0.079700,0.048621,0.029867
0.009499,0.023801,0.847605,0.313955,0.208055,0.126627,0.083446,0.050344,0.031719
0.009004,0.023617,0.815323,0.303783,0.196112,0.126957,0.076427,0.048702,0.030568
0.008709,0.020586,0.798924,0.298292,0.194690,0.121304,0.076977,0.047966,0.030248
0.009351,0.020403,0.799833,0.300597,0.194418,0.121220,0.075598,0.048316,0.029779
0.008873,0.022348,0.900753,0.333652,0.222949,0.138386,0.088618,0.054646,0.031116
0.012259,0.024791,0.855626,0.330773,0.196077,0.124517,0.078389,0.053076,0.035558
0.010639,0.027706,0.864293,0.317768,0.208589,0.134022,0.075190,0.051090,0.039131
0.010368,0.026962,0.918491,0.342249,0.220623,0.131789,0.092052,0.058020,0.036241
0.010202,0.025096,0.928251,0.340621,0.222753,0.144896,0.089833,0.058002,0.036661
0.009327,0.024990,0.891552,0.342650,0.207841,0.138109,0.084065,0.051936,0.032467
0.010118,0.022940,0.877759,0.348223,0.206850,0.123650,0.087348,0.048423,0.030004
0.010606,0.023617,0.910962,0.357262,0.210253,0.152939,0.077025,0.049099,0.029985
0.010527,0.026396,0.953021,0.416078,0.199298,0.126772,0.080612,0.056402,0.036768
0.010037,0.024287,0.876993,0.341011,0.224815,0.121831,0.076239,0.048241,0.030376
0.010595,0.024003,0.875739,0.347647,0.207942,0.122714,0.079379,0.050258,0.033009
0.008901,0.025252,0.878182,0.342819,0.214139,0.127280,0.075562,0.049908,0.034161
0.008616,0.027190,0.864041,0.334891,0.195008,0.123983,0.077950,0.059159,0.037055
0.010162,0.020395,0.861391,0.327084,0.211637,0.129698,0.079433,0.053600,0.029210
0.008896,0.023924,0.868857,0.319956,0.217553,0.130611,0.088667,0.048898,0.030201
0.008584,0.021009,0.859751,0.317012,0.223719,0.128678,0.079167,0.051503,0.029914
0.008948,0.020152,0.844809,0.307131,0.209075,0.135427,0.084209,0.050082,0.029630
0.009055,0.021461,0.830661,0.315785,0.190539,0.120236,0.086878,0.053860,0.032680
0.010823,0.022297,0.791421,0.302464,0.182498,0.120137,0.075065,0.047820,0.030164
0.009314,0.024292,0.823568,0.331924,0.184334,0.119597,0.074988,0.048134,0.030844
0.011764,0.022105,0.857165,0.319324,0.226134,0.121890,0.076788,0.048788,0.030232
0.008913,0.025014,0.880105,0.351630,0.211417,0.122558,0.076372,0.049432,0.034614
0.009508,0.021922,0.825981,0.300409,0.190824,0.120858,0.087903,0.063508,0.030893
0.016574,0.020957,0.884043,0.322909,0.233418,0.135917,0.075817,0.048461,0.029827
