/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_1920/timing/HoChiMinhTraffic_10FPS_1920_P2.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P1]
0.546389,0.234711,23.475237,13.633981,9.056822
0.858615,0.252274,24.716115,14.328643,9.274952
0.824093,0.263686,24.256037,13.902523,9.264823
0.954400,0.261135,25.056703,14.387980,9.451404
0.890453,0.258926,24.910626,14.559416,9.200128
0.971141,0.251192,25.514496,15.139974,9.149943
0.984573,0.259559,25.267767,14.742480,9.279588
0.942357,0.265233,25.032478,14.557391,9.262480
0.934576,0.257519,24.981046,14.784434,9.003435
0.962019,0.240216,24.151070,14.338777,8.608503
0.894498,0.261027,24.819312,14.472807,9.189632
0.950166,0.254778,24.762724,14.501848,9.053956
0.957817,0.253991,25.098913,14.717564,9.167863
0.915903,0.261584,24.613467,14.176852,9.258748
1.001541,0.245954,24.350758,14.139267,8.962724
0.947853,0.249822,24.448420,14.299719,8.948998
0.869308,0.263304,24.858036,14.645805,9.077144
0.815664,0.251390,24.138908,14.248929,8.819803
0.857392,0.248550,23.864886,14.352557,8.403703
0.809365,0.249075,24.579074,14.609236,8.909504
