/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_320/timing/HoChiMinhTraffic_10FPS_320_P10.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P1],[P2],[P3],[P4],[P5],[P6],[P7],[P8],[P9]
0.008089,0.027649,0.852309,0.302623,0.197160,0.119283,0.076309,0.048126,0.030181,0.018654,0.011587,0.007253,0.005147
0.008698,0.026052,0.894976,0.299485,0.194695,0.133761,0.100776,0.056579,0.032171,0.018324,0.011857,0.007113,0.005195
0.011039,0.025471,1.132679,0.453628,0.246662,0.140855,0.090173,0.060038,0.045501,0.031930,0.015032,0.007162,0.004854
0.010469,0.029101,0.910944,0.331406,0.194664,0.137423,0.076289,0.048547,0.033937,0.021515,0.013654,0.008238,0.005410
0.008934,0.028604,0.915198,0.322832,0.188156,0.143618,0.083890,0.057994,0.032699,0.021248,0.013310,0.008391,0.005236
0.010751,0.028622,0.957628,0.373670,0.191295,0.122299,0.085311,0.060638,0.035902,0.022208,0.013228,0.008184,0.005175
0.008606,0.028995,0.860156,0.296959,0.185489,0.125604,0.087412,0.050047,0.030525,0.019446,0.013131,0.008503,0.005158
0.009265,0.024306,0.873109,0.309197,0.208612,0.122138,0.074026,0.049129,0.031765,0.020123,0.012692,0.007067,0.004536
0.009605,0.027989,0.922895,0.320919,0.227417,0.126432,0.089856,0.047778,0.030071,0.018763,0.011553,0.007206,0.005026
0.009189,0.026345,0.841428,0.289651,0.188245,0.133723,0.074908,0.047499,0.029389,0.018125,0.012011,0.007370,0.004706
0.009017,0.025485,0.830901,0.295441,0.186778,0.118724,0.075050,0.048316,0.029469,0.018220,0.011787,0.007304,0.005057
0.008663,0.026404,0.842980,0.304829,0.183129,0.118929,0.075086,0.048161,0.029763,0.019911,0.013357,0.008399,0.006072
0.010282,0.026045,0.836572,0.301237,0.184368,0.119150,0.074716,0.047933,0.030265,0.018268,0.011344,0.007585,0.005126
0.010014,0.028192,0.845023,0.293331,0.189569,0.119791,0.083291,0.048046,0.030764,0.018606,0.011297,0.006981,0.004874
0.008758,0.027908,0.848140,0.299175,0.188737,0.124009,0.075110,0.048310,0.029454,0.019947,0.013442,0.007868,0.005105
0.008583,0.025436,0.838841,0.292401,0.195776,0.118054,0.079005,0.048608,0.029227,0.018170,0.011403,0.006940,0.004985
0.009072,0.025796,0.844221,0.306033,0.187866,0.120824,0.075505,0.047325,0.029949,0.018173,0.011521,0.007086,0.004825
0.008787,0.027705,0.854002,0.300833,0.201403,0.119649,0.074989,0.049263,0.029924,0.018214,0.011495,0.006882,0.004604
0.008569,0.024957,0.840311,0.306380,0.186320,0.119362,0.074948,0.048305,0.029083,0.018384,0.011945,0.006984,0.004827
0.008842,0.025652,0.831377,0.296769,0.184014,0.120922,0.075875,0.047687,0.029486,0.018184,0.011407,0.007221,0.005075
0.012484,0.025951,0.852427,0.306215,0.188015,0.117259,0.082764,0.048112,0.029373,0.018151,0.011269,0.007463,0.005122
0.009162,0.032398,0.903279,0.300885,0.208045,0.149189,0.075778,0.048797,0.030369,0.021291,0.013341,0.008456,0.005286
0.008637,0.026572,0.842595,0.294686,0.197933,0.119297,0.075655,0.048370,0.029792,0.018292,0.011647,0.006924,0.004540
0.009030,0.025519,0.866858,0.332852,0.183724,0.121602,0.074546,0.048270,0.029315,0.019013,0.011358,0.007000,0.004374
0.008928,0.028311,0.850215,0.307957,0.191205,0.119205,0.075594,0.047690,0.029613,0.018130,0.011495,0.006972,0.004819
0.010514,0.028322,0.871718,0.326371,0.189784,0.119898,0.075137,0.048299,0.030080,0.018717,0.011704,0.007457,0.005150
0.009223,0.028505,0.879004,0.318569,0.188306,0.129763,0.081621,0.049160,0.030111,0.018344,0.012447,0.007575,0.005107
0.008826,0.028117,0.914620,0.325557,0.193697,0.127976,0.088403,0.055807,0.032768,0.021774,0.017496,0.008741,0.005111
0.010260,0.028467,0.931264,0.367167,0.201609,0.121606,0.076696,0.049249,0.030478,0.018947,0.013182,0.008078,0.005223
0.010774,0.029697,0.964807,0.360343,0.198018,0.135065,0.091255,0.055883,0.034719,0.021353,0.013525,0.008574,0.005283
0.011082,0.029943,1.065524,0.372185,0.253189,0.148884,0.093138,0.060430,0.045862,0.022495,0.013688,0.008888,0.005403
0.010393,0.030585,0.978259,0.348399,0.216908,0.139080,0.089540,0.056656,0.035526,0.022349,0.013737,0.009146,0.005586
0.010581,0.029339,0.941390,0.339711,0.214871,0.127305,0.076765,0.053601,0.035305,0.025949,0.014042,0.008342,0.005279
0.010414,0.029968,0.909556,0.335152,0.189452,0.125481,0.083560,0.050849,0.034903,0.021493,0.013745,0.008792,0.005443
0.010498,0.029420,0.942202,0.321332,0.228942,0.143277,0.084918,0.047668,0.030166,0.018991,0.013118,0.008395,0.005114
0.016310,0.032128,1.112713,0.431526,0.238476,0.167169,0.079963,0.056698,0.038599,0.022506,0.013725,0.009253,0.005905
0.010559,0.044793,1.008919,0.333357,0.207159,0.143039,0.093213,0.064931,0.048198,0.028610,0.017643,0.010371,0.006638
0.010831,0.028474,0.866479,0.301670,0.201753,0.126529,0.076464,0.047516,0.029988,0.018577,0.011874,0.007441,0.005097
0.008861,0.029694,0.929810,0.324248,0.208126,0.127663,0.083571,0.058051,0.037107,0.023532,0.013914,0.009321,0.005410
0.009295,0.025818,0.931182,0.323821,0.206594,0.132467,0.087948,0.057178,0.035801,0.021746,0.013799,0.010856,0.005508
0.008823,0.028484,0.897182,0.309207,0.196909,0.132999,0.082870,0.056829,0.034366,0.019381,0.013520,0.008208,0.005262
0.009026,0.028191,0.969069,0.368769,0.197225,0.131061,0.100081,0.059676,0.031889,0.018966,0.011322,0.007409,0.005177
0.010828,0.027777,1.012214,0.354460,0.225010,0.145296,0.106837,0.059661,0.036100,0.020635,0.012491,0.007616,0.005171
0.010548,0.029904,1.036499,0.356676,0.267126,0.140441,0.089192,0.056924,0.035751,0.021941,0.013749,0.008483,0.005400
0.011161,0.028348,0.933499,0.329867,0.219272,0.133772,0.086150,0.050680,0.029311,0.018605,0.012697,0.008205,0.005117
0.011528,0.030353,0.942821,0.349350,0.211245,0.131287,0.081863,0.047787,0.030670,0.021223,0.013210,0.008723,0.005272
0.009010,0.031278,1.032471,0.341415,0.246775,0.165798,0.093749,0.057828,0.035437,0.022061,0.014045,0.009268,0.005366
0.008827,0.028645,0.911880,0.325091,0.194272,0.131271,0.090362,0.055256,0.031818,0.019714,0.013040,0.008162,0.005125
0.008950,0.023812,0.844089,0.300043,0.196210,0.121965,0.074870,0.047298,0.029890,0.018071,0.011255,0.007119,0.004356
0.008611,0.028497,0.867518,0.301458,0.203253,0.118614,0.076241,0.052502,0.031291,0.020071,0.013391,0.008192,0.005099
0.008603,0.025173,0.824060,0.294746,0.182305,0.118541,0.075538,0.047996,0.030008,0.018215,0.011186,0.006871,0.004636
0.008892,0.024742,0.832940,0.295235,0.183928,0.120532,0.074678,0.047222,0.030239,0.020085,0.013618,0.008828,0.004640
0.009180,0.027829,0.863236,0.317721,0.183393,0.119951,0.087516,0.047880,0.029066,0.017766,0.011122,0.006821,0.004758
0.011633,0.028287,0.919661,0.337710,0.195194,0.141056,0.080287,0.050703,0.030289,0.018955,0.012543,0.007598,0.005128
0.009511,0.032584,0.930641,0.308861,0.199270,0.133723,0.095045,0.058307,0.037770,0.023240,0.017342,0.008953,0.005649
0.008753,0.028809,0.915405,0.312069,0.210394,0.138459,0.083845,0.055758,0.031498,0.019160,0.012862,0.008307,0.005166
0.008829,0.027472,0.856720,0.295378,0.193362,0.130369,0.078897,0.047674,0.030347,0.019508,0.012148,0.007330,0.005145
0.008832,0.026921,0.852311,0.306105,0.190242,0.122294,0.079183,0.047694,0.029412,0.018619,0.011298,0.006932,0.004514
0.009151,0.025943,0.888039,0.330716,0.206129,0.118497,0.076522,0.049035,0.028661,0.018257,0.011592,0.008138,0.005139
0.008994,0.028493,0.878476,0.312853,0.199147,0.126753,0.077431,0.049683,0.029889,0.019093,0.012928,0.007775,0.005109
0.008590,0.032050,0.861297,0.298369,0.188457,0.125635,0.077247,0.048640,0.031455,0.021822,0.014015,0.008764,0.005948
0.010501,0.028569,0.922839,0.335847,0.202681,0.129842,0.077039,0.052155,0.035253,0.023146,0.014157,0.008144,0.005170
0.010089,0.027909,0.877508,0.291897,0.196928,0.130580,0.095373,0.052247,0.029828,0.018213,0.011722,0.007452,0.004977
0.008583,0.028784,0.846938,0.296857,0.187915,0.127556,0.074999,0.048101,0.029446,0.018258,0.012998,0.008033,0.005105
0.009134,0.025854,0.847652,0.298175,0.200454,0.118065,0.076206,0.049040,0.029340,0.017795,0.011333,0.007191,0.004832
0.010988,0.028576,0.916891,0.365007,0.186426,0.121862,0.076556,0.049927,0.030648,0.019988,0.013148,0.008236,0.005225
0.012224,0.031311,1.071155,0.455064,0.212965,0.144554,0.076830,0.055704,0.033292,0.021514,0.013603,0.008436,0.005343
0.010411,0.034585,1.044750,0.337492,0.223242,0.145131,0.109952,0.086136,0.046877,0.022635,0.013345,0.008863,0.005741
0.010529,0.028779,0.965271,0.354386,0.225008,0.141622,0.081386,0.048643,0.030152,0.018649,0.012666,0.008060,0.005113
0.009957,0.028804,0.980651,0.340613,0.221938,0.149720,0.098381,0.053703,0.030474,0.019912,0.013408,0.008274,0.005111
0.010535,0.029548,0.958266,0.347532,0.209499,0.132329,0.089928,0.056151,0.034729,0.020875,0.013155,0.008385,0.005283
0.010044,0.029936,0.901713,0.314585,0.201367,0.130930,0.084265,0.052101,0.030769,0.020434,0.013326,0.008498,0.005167
0.009137,0.028994,0.887514,0.325981,0.199012,0.123915,0.076552,0.048439,0.029975,0.018855,0.013194,0.008057,0.005107
0.008704,0.028961,0.905593,0.321441,0.193363,0.126047,0.086304,0.056512,0.035521,0.021687,0.013281,0.008279,0.005190
0.009343,0.027892,0.884636,0.303115,0.197761,0.127346,0.087377,0.056312,0.031407,0.018237,0.012675,0.007691,0.005147
0.010059,0.030615,0.942449,0.353693,0.224166,0.120182,0.076248,0.048467,0.030079,0.021062,0.013678,0.008452,0.005459
0.010399,0.027970,0.911358,0.333916,0.198059,0.136486,0.078022,0.049603,0.029916,0.019846,0.013448,0.008216,0.005197
0.009222,0.028595,0.908540,0.308631,0.206236,0.138434,0.085494,0.055023,0.030864,0.019065,0.013273,0.008269,0.005135
0.010184,0.027675,0.874474,0.313680,0.194407,0.124797,0.076254,0.048022,0.029647,0.019946,0.013916,0.010420,0.005157
0.008618,0.028278,0.851136,0.292865,0.195078,0.119545,0.081123,0.050405,0.029701,0.018804,0.012981,0.008246,0.005219
0.010673,0.026890,0.870829,0.309461,0.194243,0.119355,0.083744,0.054169,0.030134,0.018802,0.011294,0.006830,0.004942
0.008830,0.029521,0.910356,0.328058,0.207403,0.132272,0.077146,0.048351,0.031316,0.020120,0.013355,0.008408,0.005299
0.008844,0.025894,0.896839,0.324150,0.196514,0.144616,0.078353,0.047586,0.029305,0.018563,0.011298,0.006930,0.004537
0.008655,0.026586,0.877025,0.318470,0.193015,0.122923,0.080211,0.053798,0.031291,0.018167,0.011587,0.007495,0.004570
0.009618,0.025792,0.843794,0.304659,0.184709,0.119937,0.077076,0.049588,0.030446,0.018580,0.011229,0.007091,0.004815
0.008926,0.030851,0.910109,0.314540,0.190245,0.135980,0.087750,0.056756,0.034981,0.022312,0.013557,0.008428,0.005472
0.009018,0.027166,0.841139,0.295567,0.187730,0.119537,0.075694,0.047411,0.029530,0.019083,0.013285,0.009093,0.007669
0.008788,0.026847,0.837053,0.291947,0.186009,0.122523,0.081889,0.047586,0.029657,0.017965,0.011365,0.007514,0.004688
0.009179,0.025103,0.873038,0.316159,0.198052,0.126801,0.074889,0.047617,0.029961,0.020051,0.013093,0.007495,0.004367
0.009361,0.029751,0.943635,0.334921,0.209452,0.119668,0.088538,0.064883,0.036045,0.022203,0.014139,0.008892,0.005444
0.009382,0.029295,0.928890,0.346582,0.208723,0.127921,0.080619,0.048672,0.030501,0.019924,0.013312,0.008400,0.005240
0.009120,0.026381,0.847393,0.295834,0.189526,0.122623,0.078418,0.050189,0.031149,0.019340,0.012227,0.007738,0.004525
0.009491,0.024788,0.855192,0.302011,0.193152,0.122262,0.078900,0.051238,0.031202,0.018469,0.011693,0.006944,0.004752
0.009088,0.027425,0.848214,0.298236,0.194094,0.119341,0.076076,0.049203,0.030400,0.018775,0.013280,0.007438,0.004537
0.009075,0.024359,0.839509,0.295164,0.193035,0.118729,0.076300,0.048229,0.029955,0.018502,0.012579,0.008799,0.004486
0.012804,0.024775,0.844975,0.289761,0.194240,0.120854,0.076912,0.048765,0.034898,0.018566,0.011557,0.007097,0.004460
0.009123,0.024331,0.835546,0.295338,0.185150,0.121839,0.078660,0.049422,0.029752,0.018238,0.011654,0.007339,0.004440
0.010108,0.027310,0.945238,0.329449,0.221325,0.146905,0.084089,0.050494,0.030150,0.018730,0.013043,0.008234,0.005107
0.008818,0.029342,0.943355,0.326467,0.238736,0.121695,0.089300,0.051613,0.030515,0.019629,0.013235,0.008311,0.005367
0.010822,0.027445,1.078354,0.471212,0.203723,0.123472,0.104551,0.065617,0.029239,0.018172,0.011334,0.007398,0.005052
0.008956,0.029569,0.887882,0.311670,0.193426,0.126938,0.083530,0.057268,0.030202,0.019205,0.013055,0.008538,0.005196
