/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_800/timing/HoChiMinhTraffic_10FPS_800_P15.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P10],[P11],[P12],[P13],[P14],[P1],[P2],[P3],[P4],[P5],[P6],[P7],[P8],[P9]
0.059168,0.198874,6.338015,2.245775,0.017990,0.010972,0.005979,0.003774,0.002103,1.496678,0.969529,0.540020,0.308468,0.192683,0.124103,0.079684,0.051859,0.029946
0.070535,0.190336,6.249253,2.221769,0.020685,0.010304,0.006035,0.003920,0.002086,1.446839,0.922983,0.532128,0.333845,0.209168,0.122753,0.076426,0.047776,0.031244
0.068891,0.205350,6.346604,2.200083,0.018236,0.011805,0.006167,0.003893,0.002299,1.335126,0.881926,0.525901,0.348770,0.326751,0.178827,0.150199,0.052464,0.029396
0.076633,0.191495,6.256076,2.333134,0.018217,0.010380,0.006182,0.003870,0.002124,1.371695,0.889385,0.520434,0.335149,0.198289,0.140235,0.080893,0.047829,0.029749
0.069544,0.211512,6.255621,2.214549,0.021910,0.012101,0.007362,0.004592,0.002524,1.447134,0.895942,0.533232,0.329372,0.220958,0.127736,0.076468,0.047606,0.032632
0.069942,0.184426,6.164024,2.189134,0.018748,0.010714,0.006211,0.003870,0.002137,1.389902,0.883465,0.547458,0.331125,0.208323,0.140307,0.095857,0.051202,0.030763
0.070260,0.175066,6.130372,2.388111,0.018772,0.010317,0.006237,0.004092,0.002426,1.382957,0.799754,0.491778,0.304290,0.198466,0.126378,0.074999,0.046963,0.029078
0.070776,0.190718,6.595812,2.297807,0.021503,0.012548,0.007445,0.003777,0.002094,1.505492,0.974950,0.594693,0.378635,0.218236,0.143667,0.084799,0.054562,0.033682
0.068755,0.187631,6.443936,2.321865,0.018571,0.010446,0.006422,0.004226,0.002387,1.487326,0.909426,0.567225,0.363871,0.213506,0.125707,0.078794,0.047733,0.029617
0.068555,0.190322,6.261146,2.216107,0.021472,0.011990,0.007349,0.004570,0.002535,1.450285,0.909248,0.547496,0.343745,0.198724,0.126735,0.080497,0.051090,0.030006
0.067296,0.185740,6.263782,2.220201,0.018541,0.010541,0.006764,0.004161,0.002460,1.456795,0.905807,0.540514,0.352554,0.209568,0.126438,0.076591,0.049140,0.030259
0.069850,0.184771,6.669778,2.383650,0.019307,0.011631,0.007038,0.004511,0.002532,1.499010,1.055501,0.596156,0.344221,0.200876,0.132280,0.076677,0.048736,0.032612
0.068357,0.188019,6.346313,2.268769,0.019841,0.011516,0.007027,0.004400,0.002581,1.450470,0.912354,0.552638,0.363626,0.207526,0.131775,0.077156,0.049561,0.030287
0.071020,0.189185,6.650252,2.319770,0.018251,0.010299,0.006517,0.004430,0.002422,1.557369,1.114743,0.552617,0.317965,0.198045,0.125625,0.076537,0.051234,0.033838
0.067906,0.187721,6.283895,2.262194,0.018264,0.010311,0.006292,0.004253,0.002422,1.446653,0.914715,0.533040,0.331881,0.206897,0.130927,0.080927,0.048542,0.030563
0.070277,0.190234,6.333474,2.331373,0.018392,0.010657,0.006249,0.003941,0.002210,1.444244,0.890756,0.541504,0.327741,0.210555,0.125117,0.082809,0.047653,0.029350
0.068415,0.193701,6.317541,2.310122,0.018300,0.011470,0.007058,0.004469,0.002429,1.459559,0.906015,0.524120,0.331743,0.203538,0.123462,0.076065,0.047204,0.029475
0.070235,0.187058,6.368619,2.308849,0.018182,0.010147,0.006384,0.004272,0.002383,1.458611,0.892998,0.539541,0.336600,0.234062,0.136120,0.077906,0.053410,0.031476
0.071548,0.223095,6.775876,2.372110,0.020401,0.012113,0.007076,0.004578,0.002572,1.480325,0.892503,0.542990,0.378300,0.321428,0.244925,0.120230,0.051423,0.029794
0.068791,0.196107,6.579822,2.286046,0.018620,0.010674,0.007011,0.004438,0.002431,1.558400,0.960661,0.570136,0.354123,0.214440,0.145646,0.094389,0.056251,0.031255
