/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_800/timing/HoChiMinhTraffic_10FPS_800_P6.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P1],[P2],[P3],[P4],[P5]
0.064394,0.183787,5.930097,2.330933,1.466018,0.844578,0.517363,0.321592,0.201226
0.070649,0.172638,6.215272,2.264166,1.547672,0.982659,0.607584,0.349909,0.219789
0.071199,0.168153,5.864022,2.299678,1.403626,0.873507,0.525625,0.323230,0.198821
0.070900,0.165340,5.720076,2.215910,1.373539,0.857503,0.515570,0.322048,0.199085
0.069023,0.167872,5.745945,2.234908,1.408438,0.851472,0.510473,0.310545,0.193010
0.069461,0.168150,5.734466,2.229187,1.405579,0.852375,0.496511,0.312860,0.200157
0.068956,0.165824,5.731142,2.230882,1.391701,0.858766,0.497158,0.321167,0.196503
0.072853,0.166624,5.859261,2.319113,1.429604,0.855800,0.507411,0.316462,0.191205
0.069504,0.166467,5.724377,2.230915,1.395539,0.852024,0.500634,0.316628,0.192489
0.067542,0.169004,5.699084,2.211442,1.397355,0.836153,0.510202,0.310105,0.197098
0.069405,0.175312,5.777105,2.244429,1.413578,0.846792,0.505813,0.323163,0.198417
0.068830,0.168182,5.724310,2.214103,1.402494,0.847743,0.503069,0.320645,0.199051
0.068730,0.166086,5.843181,2.336306,1.397753,0.849655,0.514110,0.317857,0.192502
0.068321,0.166802,5.731715,2.224858,1.383503,0.866841,0.507859,0.320079,0.193264
0.071287,0.166360,5.750423,2.220991,1.403674,0.853340,0.524811,0.309792,0.199976
0.069091,0.165882,5.739276,2.215097,1.403915,0.850624,0.520352,0.308364,0.205759
0.070074,0.168272,5.740067,2.227255,1.410405,0.847672,0.501596,0.312850,0.201739
0.069372,0.166742,6.015921,2.514489,1.385563,0.861050,0.502323,0.321509,0.194701
0.070459,0.167748,5.791952,2.249395,1.401331,0.859754,0.506023,0.326043,0.211010
0.074535,0.166053,5.779986,2.272295,1.391613,0.854102,0.500755,0.327765,0.192664
0.070750,0.179329,6.408987,2.379961,1.588609,0.968280,0.579123,0.422707,0.220032
0.069797,0.170982,5.809578,2.240256,1.424036,0.867790,0.514190,0.317987,0.204345
0.069926,0.165884,5.885464,2.372880,1.398659,0.850615,0.503526,0.320482,0.203315
0.069598,0.166361,5.799860,2.235410,1.420976,0.869716,0.505692,0.328144,0.203783
0.073296,0.163955,5.761918,2.228240,1.406544,0.872643,0.496903,0.329646,0.190506
0.069470,0.166880,6.030064,2.306301,1.458414,0.949129,0.546632,0.338287,0.194760
0.071892,0.167830,6.135721,2.364790,1.481535,0.936739,0.574613,0.337873,0.200246
0.082259,0.176406,6.302032,2.542631,1.489942,0.952845,0.510425,0.325509,0.221800
0.069734,0.178286,6.143891,2.262634,1.508573,0.960183,0.572981,0.345441,0.245857
0.072280,0.167752,5.998647,2.326872,1.532175,0.865815,0.525953,0.310954,0.196651
0.071076,0.182036,6.205338,2.350006,1.568920,0.944860,0.529610,0.347539,0.211093
0.069693,0.172232,6.033312,2.304741,1.442783,0.929592,0.555232,0.345402,0.213436
0.071498,0.169415,6.270019,2.505321,1.467585,0.913114,0.567392,0.356061,0.219397
