/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Thorough/output/HoChiMinhTraffic_10FPS_320/timing/HoChiMinhTraffic_10FPS_320_P6_C1.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
0.805372,0.755210,0.770279
0.772193,0.724580,0.739705
0.772486,0.727417,0.742573
0.777548,0.731402,0.746695
0.780206,0.734234,0.749239
0.773550,0.729189,0.744169
0.775614,0.728318,0.743345
0.773684,0.727826,0.743212
0.774576,0.728522,0.744013
0.774549,0.726499,0.741751
0.862728,0.813629,0.829347
0.821155,0.772825,0.788548
0.829219,0.780468,0.796682
