/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Thorough/output/HoChiMinhTraffic_10FPS_800_Original/timing/HoChiMinhTraffic_10FPS_800_Original_P6_C1.txt
Total C++ Execution,Total Flow Calculation,Total Pyramid Calculation
5.757104,5.399085,5.512908
5.645373,5.310561,5.417361
5.610067,5.277115,5.385175
6.053967,5.708946,5.827987
6.358074,5.988276,6.112065
5.878556,5.526153,5.637412
6.411358,6.058544,6.180988
6.245803,5.887189,6.001467
5.948347,5.597098,5.716471
5.885720,5.542856,5.652047
5.753988,5.408418,5.525892
6.153949,5.786762,5.914993
5.874065,5.500057,5.614346
6.142577,5.778401,5.894297
6.097521,5.739465,5.861071
6.276619,5.925234,6.044071
6.408401,6.059047,6.178911
5.651574,5.323395,5.429396
5.818335,5.491526,5.601120
6.139256,5.790032,5.903577
5.735630,5.388984,5.503983
5.589960,5.253201,5.363333
5.621283,5.259090,5.377464
5.495941,5.134941,5.242477
5.560927,5.188055,5.303228
5.260969,4.928197,5.035353
5.528617,5.161718,5.272977
5.596316,5.223799,5.337565
5.557051,5.186533,5.299226
5.560162,5.192835,5.304044
5.562611,5.189121,5.302503
5.551719,5.187716,5.301779
